                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4593,                 1.4605,                 1.0458,                0.42842,                0.24169,                0.23505,                0.12664,                 1.3572,                 1.0196,                0.98779,              0.0033326,              0.0033326,              0.0033326
                      2,                 1.4043,                 1.0811,                 1.0208,                0.55027,                0.28607,                0.27348,                 0.1437,                 1.3243,                0.90173,                0.97971,              0.0065674,              0.0065674,              0.0065674
                      3,                 1.4112,                 1.0185,                 1.0266,                0.48889,                0.28984,                0.29112,                0.15128,                 1.3114,                 0.8713,                0.98261,              0.0097081,              0.0097081,              0.0097081
                      4,                 1.3961,                0.97104,                 1.0238,                0.49624,                 0.3082,                0.31253,                 0.1643,                 1.2844,                0.82165,                0.97296,              0.0095632,              0.0095632,              0.0095632
                      5,                 1.3611,                0.92243,                 1.0116,                0.52705,                0.31775,                0.33195,                0.17476,                 1.2611,                0.79278,                0.96496,              0.0094261,              0.0094261,              0.0094261
                      6,                 1.3397,                0.89571,                 1.0043,                0.45099,                0.33121,                0.34706,                0.18308,                  1.247,                0.77346,                   0.96,              0.0092826,              0.0092826,              0.0092826
                      7,                 1.3262,                0.87736,                0.99878,                0.47947,                 0.3358,                0.35565,                0.18894,                 1.2365,                0.75994,                0.95574,              0.0091391,              0.0091391,              0.0091391
                      8,                 1.3149,                 0.8651,                0.99485,                0.50847,                0.34556,                0.36449,                0.19362,                 1.2291,                0.74987,                0.95323,              0.0089957,              0.0089957,              0.0089957
                      9,                  1.307,                0.85632,                0.99217,                0.51406,                0.34781,                0.37064,                 0.1976,                 1.2248,                0.74304,                0.95097,              0.0088522,              0.0088522,              0.0088522
                     10,                 1.3017,                 0.8487,                0.98916,                0.59171,                0.35153,                0.37317,                0.19995,                 1.2198,                0.73702,                0.94908,              0.0087087,              0.0087087,              0.0087087
                     11,                 1.2964,                0.84239,                0.98686,                0.59417,                0.35106,                0.37696,                0.20203,                 1.2163,                0.73276,                0.94758,              0.0085652,              0.0085652,              0.0085652
                     12,                 1.2918,                0.83756,                0.98538,                0.60523,                0.35457,                0.37981,                0.20346,                 1.2138,                 0.7298,                0.94631,              0.0084217,              0.0084217,              0.0084217
