                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.374,                  1.861,                 1.0056,                0.60172,                0.33993,                 0.3933,                 0.2315,                 1.2749,                0.98815,                0.96422,              0.0033183,              0.0033183,              0.0033183
                      2,                 1.2622,                0.93893,                0.97762,                0.61287,                0.47618,                 0.4944,                0.28908,                 1.2348,                0.81252,                0.95047,               0.006647,               0.006647,               0.006647
                      3,                  1.241,                0.84021,                0.96692,                0.61344,                0.50108,                0.53816,                0.31404,                 1.2366,                0.78551,                0.94569,              0.0099714,              0.0099714,              0.0099714
                      4,                 1.2239,                0.80018,                0.96461,                0.64767,                0.52756,                0.54778,                 0.3184,                  1.225,                0.75698,                0.94306,              0.0099799,              0.0099799,              0.0099799
                      5,                 1.2134,                0.76625,                0.96068,                0.70368,                 0.5247,                0.58353,                 0.3417,                 1.2115,                0.75515,                0.94474,              0.0099733,              0.0099733,              0.0099733
                      6,                 1.2117,                0.75315,                0.95542,                0.71384,                 0.5478,                 0.6111,                0.35168,                 1.2226,                0.74686,                0.94669,              0.0099666,              0.0099666,              0.0099666
                      7,                 1.1931,                0.73671,                0.95108,                0.74101,                0.55359,                0.60982,                0.35199,                 1.2073,                0.72816,                0.94173,                0.00996,                0.00996,                0.00996
                      8,                 1.1841,                0.71388,                0.94691,                0.74812,                0.55819,                0.60907,                0.34521,                 1.2121,                 0.7248,                0.94251,              0.0099534,              0.0099534,              0.0099534
                      9,                 1.1769,                0.70803,                 0.9457,                0.75467,                0.55567,                0.62285,                0.36589,                 1.2239,                0.71669,                0.95016,              0.0099467,              0.0099467,              0.0099467
                     10,                 1.1703,                0.70079,                0.94254,                0.73031,                0.55677,                0.61776,                0.35484,                 1.2119,                0.71389,                0.94383,              0.0099402,              0.0099402,              0.0099402
                     11,                 1.1579,                0.68629,                0.93944,                0.80335,                0.54996,                 0.6271,                0.36765,                  1.205,                0.71573,                0.94752,              0.0099336,              0.0099336,              0.0099336
                     12,                 1.1541,                0.68511,                0.93902,                0.76035,                0.57449,                 0.6298,                0.36467,                  1.181,                0.71052,                0.94355,              0.0099271,              0.0099271,              0.0099271
                     13,                 1.1457,                0.67581,                0.93654,                0.76676,                0.56602,                0.64534,                0.37773,                 1.2015,                0.69312,                0.94181,              0.0099205,              0.0099205,              0.0099205
                     14,                 1.1369,                0.66657,                0.93367,                0.73292,                 0.5809,                 0.6497,                 0.3854,                 1.1754,                0.67802,                0.93397,               0.009914,               0.009914,               0.009914
                     15,                 1.1348,                0.66783,                0.93217,                0.78148,                0.58265,                0.65396,                0.38108,                 1.1854,                0.70167,                0.93553,              0.0099074,              0.0099074,              0.0099074
                     16,                 1.1295,                0.66247,                0.93181,                0.75558,                 0.6001,                0.65212,                0.37958,                  1.192,                0.68795,                0.92785,              0.0099009,              0.0099009,              0.0099009
                     17,                 1.1249,                0.65577,                0.93061,                0.76349,                0.58748,                0.65824,                 0.3838,                 1.1961,                0.69931,                0.93701,              0.0098943,              0.0098943,              0.0098943
                     18,                 1.1197,                 0.6464,                 0.9281,                0.76611,                0.57354,                0.64907,                0.38078,                 1.1891,                0.68989,                0.93105,              0.0098877,              0.0098877,              0.0098877
                     19,                 1.1255,                0.65247,                0.92718,                0.77394,                0.59234,                0.65465,                0.38879,                 1.1937,                0.70126,                0.93383,              0.0098811,              0.0098811,              0.0098811
                     20,                 1.1062,                 0.6414,                 0.9254,                0.76085,                0.61101,                0.67734,                0.39763,                 1.1893,                0.67493,                0.93735,              0.0098746,              0.0098746,              0.0098746
                     21,                 1.1069,                0.63394,                0.92434,                 0.7933,                0.59657,                0.67436,                0.39315,                 1.1814,                0.67413,                0.93801,               0.009868,               0.009868,               0.009868
                     22,                 1.1055,                0.63178,                0.92368,                0.77584,                0.61339,                 0.6734,                0.39862,                 1.1746,                0.67876,                0.92962,              0.0098615,              0.0098615,              0.0098615
                     23,                 1.0961,                0.63147,                0.92306,                0.75254,                0.62545,                 0.6681,                0.39048,                 1.2019,                0.69238,                0.93908,              0.0098549,              0.0098549,              0.0098549
                     24,                 1.0972,                0.62961,                0.92157,                0.77689,                0.61593,                0.68581,                0.39816,                  1.187,                  0.682,                0.94346,              0.0098484,              0.0098484,              0.0098484
                     25,                 1.0959,                 0.6277,                 0.9197,                0.79007,                0.60816,                0.68103,                0.39085,                 1.1927,                0.68089,                0.93809,              0.0098418,              0.0098418,              0.0098418
                     26,                 1.0898,                0.62534,                0.91988,                0.78407,                0.59567,                0.67344,                0.38973,                   1.17,                0.68595,                0.93274,              0.0098352,              0.0098352,              0.0098352
                     27,                 1.0875,                0.62081,                0.91988,                0.76746,                0.60138,                0.67633,                0.39031,                 1.1906,                0.67988,                0.94061,              0.0098287,              0.0098287,              0.0098287
                     28,                 1.0824,                0.61536,                 0.9193,                0.79388,                0.60415,                 0.6847,                 0.4023,                 1.1918,                0.66923,                 0.9416,              0.0098222,              0.0098222,              0.0098222
                     29,                 1.0756,                0.61123,                0.91605,                 0.7742,                0.60634,                0.66602,                0.38855,                 1.1849,                0.67883,                0.93709,              0.0098156,              0.0098156,              0.0098156
                     30,                 1.0727,                0.60874,                0.91309,                0.75856,                0.60237,                0.66612,                0.39135,                 1.1843,                0.67344,                0.93553,               0.009809,               0.009809,               0.009809
                     31,                 1.0738,                0.60813,                 0.9117,                0.80013,                0.63128,                0.69063,                0.40108,                 1.1845,                0.65727,                0.93618,              0.0098024,              0.0098024,              0.0098024
                     32,                 1.0716,                0.60499,                 0.9144,                0.79067,                0.61595,                0.68162,                0.40301,                 1.1879,                0.67806,                0.93485,              0.0097959,              0.0097959,              0.0097959
                     33,                 1.0613,                0.59889,                0.90863,                0.77625,                0.62465,                0.68768,                0.40078,                 1.1787,                 0.6578,                0.93381,              0.0097894,              0.0097894,              0.0097894
                     34,                 1.0631,                0.60152,                0.91204,                0.79886,                 0.6132,                0.68295,                0.40598,                 1.1918,                0.66887,                0.92918,              0.0097828,              0.0097828,              0.0097828
                     35,                 1.0556,                0.59701,                0.90833,                0.77262,                0.62468,                0.68222,                0.40463,                 1.1842,                0.66843,                0.93013,              0.0097762,              0.0097762,              0.0097762
                     36,                 1.0546,                 0.5968,                 0.9071,                0.79398,                0.61293,                0.69156,                0.40518,                 1.1793,                0.66142,                0.93382,              0.0097696,              0.0097696,              0.0097696
                     37,                 1.0515,                 0.5932,                0.90949,                0.73096,                0.64028,                0.68233,                0.40064,                 1.1861,                0.66503,                0.93802,              0.0097627,              0.0097627,              0.0097627
                     38,                 1.0549,                 0.5934,                0.90922,                0.81568,                0.61952,                0.68807,                 0.4042,                 1.1763,                0.65588,                0.93145,              0.0097551,              0.0097551,              0.0097551
                     39,                 1.0421,                0.59009,                0.90759,                0.80257,                0.63298,                0.69285,                0.41102,                  1.179,                0.65635,                0.93148,              0.0097477,              0.0097477,              0.0097477
                     40,                 1.0463,                0.58584,                0.90688,                0.78508,                0.64405,                0.70069,                 0.4122,                  1.184,                0.66105,                0.93269,              0.0097409,              0.0097409,              0.0097409
                     41,                 1.0426,                0.58915,                0.90509,                0.77352,                0.63043,                0.68791,                0.40915,                 1.1759,                0.67246,                0.93288,               0.009734,               0.009734,               0.009734
                     42,                 1.0321,                0.58315,                0.90514,                0.75707,                0.61787,                0.68083,                0.40237,                 1.1772,                0.66518,                0.92832,              0.0097272,              0.0097272,              0.0097272
                     43,                 1.0417,                0.58298,                0.90512,                0.79417,                0.60923,                0.68046,                0.39776,                 1.1926,                0.66784,                0.93882,              0.0097206,              0.0097206,              0.0097206
                     44,                 1.0317,                0.57648,                0.90285,                0.80222,                0.61297,                0.68609,                0.41437,                 1.1783,                0.66237,                0.93694,              0.0097137,              0.0097137,              0.0097137
                     45,                 1.0312,                0.57825,                0.90424,                0.74923,                 0.6341,                0.68307,                0.40474,                 1.1905,                   0.66,                0.94053,              0.0097071,              0.0097071,              0.0097071
                     46,                 1.0255,                0.57572,                0.90275,                0.77426,                0.65441,                0.69542,                0.41784,                 1.1779,                0.65819,                0.94054,              0.0097004,              0.0097004,              0.0097004
                     47,                 1.0271,                0.57562,                0.90277,                0.73438,                0.66248,                0.69276,                0.41423,                 1.1773,                0.66125,                0.93396,              0.0096937,              0.0096937,              0.0096937
                     48,                 1.0247,                0.57131,                0.90282,                 0.8056,                 0.6341,                 0.6958,                0.41259,                 1.1673,                0.65454,                0.93148,              0.0096871,              0.0096871,              0.0096871
                     49,                 1.0194,                0.57408,                0.89972,                0.81729,                0.62899,                0.69494,                0.41066,                 1.1875,                 0.6634,                0.94012,              0.0096804,              0.0096804,              0.0096804
                     50,                 1.0215,                0.57042,                0.90054,                0.81922,                0.62813,                0.69918,                0.41146,                 1.1791,                0.64128,                0.93638,               0.009674,               0.009674,               0.009674
                     51,                 1.0112,                0.56381,                0.89945,                0.82571,                0.63023,                0.69888,                  0.413,                 1.1662,                0.65311,                 0.9367,              0.0096673,              0.0096673,              0.0096673
